CHEQUEESPECIAL;USO_CREDITO;HISTORICO_CREDITO;PROPOSITO;BALANCO_ATUAL;BALANCO_MEDIO_CREDITO;EMPREGADO;LOCAL;ESTADOCIVIL;OUTRASFUNCOES;RESIDENCIADESDE;TIPOSBENS;IDADE;OUTROSPLANOSPGTO;RESIDENCIA;CREDITOSEXISTENTES;EMPREGO;DEPENDENTES;TRABAESTRANGEIRO;CLASSE
<0;24;existente e pago;Computador/TV;1282;100<=X<500;1<=X<4;4;fem div/cas;nenhum;2;carro;32;nenhum;própria;1;não especializado;1;sim;ruim
sem cheque;24;crítica / outros de crédito existente;Computador/TV;2424;nenhuma economia conhecida;>=7;4;masculino solteiro;nenhum;4;seguro de vida;53;nenhum;própria;2;especializado;1;sim;bom
<0;30;sem créditos/todos pagos;negócios;8072;nenhuma economia conhecida;<1;2;masculino solteiro;nenhum;3;carro;25;banco;própria;3;especializado;1;sim;bom
0<=X<200;24;existente e pago;carro usado;12579;<100;>=7;4;fem div/cas;nenhum;2;nenhuma conhecida;44;nenhum;gratuitamente;1;alta qualificação/autonomo/Gerente;1;sim;ruim
sem cheque;24;existente e pago;Computador/TV;3430;500<=X<1000;>=7;3;masculino solteiro;nenhum;2;carro;31;nenhum;própria;1;especializado;2;sim;bom
sem cheque;9;crítica / outros de crédito existente;carro novo;2134;<100;1<=X<4;4;masculino solteiro;nenhum;4;carro;48;nenhum;própria;3;especializado;1;sim;bom
<0;6;existente e pago;Computador/TV;2647;500<=X<1000;1<=X<4;2;masculino solteiro;nenhum;3;bens imóveis;44;nenhum;alugada;1;especializado;2;sim;bom
<0;10;crítica / outros de crédito existente;carro novo;2241;<100;<1;1;masculino solteiro;nenhum;3;bens imóveis;48;nenhum;alugada;2;não especializado;2;não;bom
0<=X<200;12;crítica / outros de crédito existente;carro usado;1804;100<=X<500;<1;3;masculino solteiro;nenhum;4;seguro de vida;44;nenhum;própria;1;especializado;1;sim;bom
sem cheque;10;crítica / outros de crédito existente;mobilia/equipamento;2069;nenhuma economia conhecida;1<=X<4;2;masculino casado/viuvo;nenhum;1;carro;26;nenhum;própria;2;especializado;1;não;bom
<0;6;existente e pago;mobilia/equipamento;1374;<100;1<=X<4;1;masculino solteiro;nenhum;2;bens imóveis;36;banco;própria;1;não especializado;1;sim;bom
sem cheque;6;sem créditos/todos pagos;Computador/TV;426;<100;>=7;4;masculino casado/viuvo;nenhum;4;carro;39;nenhum;própria;1;não especializado;1;sim;bom
>=200;12;todos pagos;Computador/TV;409;>=1000;1<=X<4;3;fem div/cas;nenhum;3;bens imóveis;42;nenhum;alugada;2;especializado;1;sim;bom
0<=X<200;7;existente e pago;Computador/TV;2415;<100;1<=X<4;3;masculino solteiro;fiador;2;bens imóveis;34;nenhum;própria;1;especializado;1;sim;bom
<0;60;atrasos anteriores;negócios;6836;<100;>=7;3;masculino solteiro;nenhum;4;nenhuma conhecida;63;nenhum;própria;2;especializado;1;sim;ruim
0<=X<200;18;existente e pago;negócios;1913;>=1000;<1;3;masculino casado/viuvo;nenhum;3;bens imóveis;36;banco;própria;1;especializado;1;sim;bom
<0;24;existente e pago;mobilia/equipamento;4020;<100;1<=X<4;2;masculino solteiro;nenhum;2;carro;27;stores;própria;1;especializado;1;sim;bom
0<=X<200;18;existente e pago;carro novo;5866;100<=X<500;1<=X<4;2;masculino solteiro;nenhum;2;carro;30;nenhum;própria;2;especializado;1;sim;bom
sem cheque;12;crítica / outros de crédito existente;negócios;1264;nenhuma economia conhecida;>=7;4;masculino solteiro;nenhum;4;nenhuma conhecida;57;nenhum;alugada;1;não especializado;1;sim;bom
>=200;12;existente e pago;mobilia/equipamento;1474;<100;<1;4;fem div/cas;nenhum;1;seguro de vida;33;banco;própria;1;alta qualificação/autonomo/Gerente;1;sim;bom
0<=X<200;45;crítica / outros de crédito existente;Computador/TV;4746;<100;<1;4;masculino solteiro;nenhum;2;seguro de vida;25;nenhum;própria;2;não especializado;1;sim;ruim
sem cheque;48;crítica / outros de crédito existente;educação;6110;<100;1<=X<4;1;masculino solteiro;nenhum;3;nenhuma conhecida;31;banco;gratuitamente;1;especializado;1;sim;bom
>=200;18;existente e pago;Computador/TV;2100;<100;1<=X<4;4;masculino solteiro;co requerente;2;bens imóveis;37;stores;própria;1;especializado;1;sim;ruim
>=200;10;existente e pago;Eletrodomésticos;1225;<100;1<=X<4;2;masculino solteiro;nenhum;2;carro;37;nenhum;própria;1;especializado;1;sim;bom
0<=X<200;9;existente e pago;Computador/TV;458;<100;1<=X<4;4;masculino solteiro;nenhum;3;bens imóveis;24;nenhum;própria;1;especializado;1;sim;bom
sem cheque;30;existente e pago;Computador/TV;2333;500<=X<1000;>=7;4;masculino solteiro;nenhum;2;carro;30;banco;própria;1;alta qualificação/autonomo/Gerente;1;sim;bom
0<=X<200;12;existente e pago;Computador/TV;1158;500<=X<1000;1<=X<4;3;masculino div/sep;nenhum;1;carro;26;nenhum;própria;1;especializado;1;sim;bom
0<=X<200;18;atrasos anteriores;obras;6204;<100;1<=X<4;2;masculino solteiro;nenhum;4;bens imóveis;44;nenhum;própria;1;não especializado;2;sim;bom
<0;30;crítica / outros de crédito existente;carro usado;6187;100<=X<500;4<=X<7;1;masculino casado/viuvo;nenhum;4;carro;24;nenhum;alugada;2;especializado;1;sim;bom
<0;48;crítica / outros de crédito existente;carro usado;6143;<100;>=7;4;fem div/cas;nenhum;4;nenhuma conhecida;58;stores;gratuitamente;2;não especializado;1;sim;ruim
sem cheque;11;crítica / outros de crédito existente;carro novo;1393;<100;<1;4;fem div/cas;nenhum;4;carro;35;nenhum;própria;2;alta qualificação/autonomo/Gerente;1;sim;bom
sem cheque;36;existente e pago;Computador/TV;2299;500<=X<1000;>=7;4;masculino solteiro;nenhum;4;carro;39;nenhum;própria;1;especializado;1;sim;bom
<0;6;existente e pago;carro usado;1352;500<=X<1000;desempregado;1;fem div/cas;nenhum;2;seguro de vida;23;nenhum;alugada;1;unemp/unespecializado non res;1;sim;bom
sem cheque;11;crítica / outros de crédito existente;carro novo;7228;<100;1<=X<4;1;masculino solteiro;nenhum;4;seguro de vida;39;nenhum;própria;2;não especializado;1;sim;bom
sem cheque;12;existente e pago;Computador/TV;2073;100<=X<500;1<=X<4;4;fem div/cas;co requerente;2;bens imóveis;28;nenhum;própria;1;especializado;1;sim;bom
0<=X<200;24;atrasos anteriores;mobilia/equipamento;2333;nenhuma economia conhecida;<1;4;masculino solteiro;nenhum;2;seguro de vida;29;banco;própria;1;não especializado;1;sim;bom
0<=X<200;27;atrasos anteriores;carro usado;5965;<100;>=7;1;masculino solteiro;nenhum;2;carro;30;nenhum;própria;2;alta qualificação/autonomo/Gerente;1;sim;bom
sem cheque;12;existente e pago;Computador/TV;1262;<100;1<=X<4;3;masculino solteiro;nenhum;2;carro;25;nenhum;própria;1;especializado;1;sim;bom
sem cheque;18;existente e pago;carro usado;3378;nenhuma economia conhecida;1<=X<4;2;masculino solteiro;nenhum;1;seguro de vida;31;nenhum;própria;1;especializado;1;sim;bom
0<=X<200;36;atrasos anteriores;carro novo;2225;<100;>=7;4;masculino solteiro;nenhum;4;nenhuma conhecida;57;banco;gratuitamente;2;especializado;1;sim;ruim
sem cheque;6;todos pagos;carro novo;783;nenhuma economia conhecida;1<=X<4;1;masculino solteiro;fiador;2;bens imóveis;26;stores;própria;1;não especializado;2;sim;bom
0<=X<200;12;existente e pago;Computador/TV;6468;nenhuma economia conhecida;desempregado;2;masculino solteiro;nenhum;1;nenhuma conhecida;52;nenhum;própria;1;alta qualificação/autonomo/Gerente;1;sim;ruim
sem cheque;36;crítica / outros de crédito existente;Computador/TV;9566;<100;1<=X<4;2;fem div/cas;nenhum;2;carro;31;stores;própria;2;especializado;1;sim;bom
>=200;18;existente e pago;carro novo;1961;<100;>=7;3;fem div/cas;nenhum;2;carro;23;nenhum;própria;1;alta qualificação/autonomo/Gerente;1;sim;bom
<0;36;crítica / outros de crédito existente;mobilia/equipamento;6229;<100;<1;4;fem div/cas;co requerente;4;nenhuma conhecida;23;nenhum;alugada;2;não especializado;1;sim;ruim
0<=X<200;9;existente e pago;negócios;1391;<100;1<=X<4;2;masculino casado/viuvo;nenhum;1;bens imóveis;27;banco;própria;1;especializado;1;sim;bom
0<=X<200;15;crítica / outros de crédito existente;Computador/TV;1537;nenhuma economia conhecida;>=7;4;masculino solteiro;fiador;4;bens imóveis;50;nenhum;própria;2;especializado;1;sim;bom
0<=X<200;36;sem créditos/todos pagos;negócios;1953;<100;>=7;4;masculino solteiro;nenhum;4;nenhuma conhecida;61;nenhum;gratuitamente;1;alta qualificação/autonomo/Gerente;1;sim;ruim
0<=X<200;48;sem créditos/todos pagos;negócios;14421;<100;1<=X<4;2;masculino solteiro;nenhum;2;carro;25;nenhum;própria;1;especializado;1;sim;ruim
sem cheque;24;existente e pago;Computador/TV;3181;<100;<1;4;fem div/cas;nenhum;4;seguro de vida;26;nenhum;própria;1;especializado;1;sim;bom
sem cheque;27;existente e pago;obras;5190;nenhuma economia conhecida;>=7;4;masculino solteiro;nenhum;4;seguro de vida;48;nenhum;própria;4;especializado;2;sim;bom
sem cheque;12;existente e pago;Computador/TV;2171;<100;<1;2;fem div/cas;nenhum;2;carro;29;banco;própria;1;especializado;1;sim;bom
0<=X<200;12;existente e pago;carro novo;1007;>=1000;1<=X<4;4;masculino casado/viuvo;nenhum;1;bens imóveis;22;nenhum;própria;1;especializado;1;sim;bom
sem cheque;36;existente e pago;educação;1819;<100;1<=X<4;4;masculino solteiro;nenhum;4;nenhuma conhecida;37;stores;gratuitamente;1;especializado;1;sim;ruim
sem cheque;36;existente e pago;Computador/TV;2394;nenhuma economia conhecida;1<=X<4;4;fem div/cas;nenhum;4;carro;25;nenhum;própria;1;especializado;1;sim;bom
sem cheque;36;existente e pago;carro usado;8133;<100;1<=X<4;1;fem div/cas;nenhum;2;seguro de vida;30;banco;própria;1;especializado;1;sim;bom
sem cheque;7;crítica / outros de crédito existente;Computador/TV;730;nenhuma economia conhecida;>=7;4;masculino solteiro;nenhum;2;seguro de vida;46;nenhum;alugada;2;não especializado;1;sim;bom
<0;8;crítica / outros de crédito existente;outros;1164;<100;>=7;3;masculino solteiro;nenhum;4;nenhuma conhecida;51;banco;gratuitamente;2;alta qualificação/autonomo/Gerente;2;sim;bom
0<=X<200;42;crítica / outros de crédito existente;negócios;5954;<100;4<=X<7;2;fem div/cas;nenhum;1;bens imóveis;41;banco;própria;2;não especializado;1;sim;bom
<0;36;existente e pago;educação;1977;nenhuma economia conhecida;>=7;4;masculino solteiro;nenhum;4;nenhuma conhecida;40;nenhum;própria;1;alta qualificação/autonomo/Gerente;1;sim;ruim
<0;12;crítica / outros de crédito existente;carro usado;1526;<100;>=7;4;masculino solteiro;nenhum;4;nenhuma conhecida;66;nenhum;gratuitamente;2;alta qualificação/autonomo/Gerente;1;sim;bom
<0;42;existente e pago;Computador/TV;3965;<100;<1;4;masculino solteiro;nenhum;3;carro;34;nenhum;própria;1;especializado;1;sim;ruim
0<=X<200;11;atrasos anteriores;Computador/TV;4771;<100;4<=X<7;2;masculino solteiro;nenhum;4;seguro de vida;51;nenhum;própria;1;especializado;1;sim;bom
sem cheque;54;sem créditos/todos pagos;carro usado;9436;nenhuma economia conhecida;1<=X<4;2;masculino solteiro;nenhum;2;seguro de vida;39;nenhum;própria;1;não especializado;2;sim;bom
0<=X<200;30;existente e pago;mobilia/equipamento;3832;<100;<1;2;masculino casado/viuvo;nenhum;1;seguro de vida;22;nenhum;própria;1;especializado;1;sim;bom
sem cheque;24;existente e pago;Computador/TV;5943;nenhuma economia conhecida;<1;1;fem div/cas;nenhum;1;carro;44;nenhum;própria;2;especializado;1;sim;ruim
sem cheque;15;existente e pago;Computador/TV;1213;500<=X<1000;>=7;4;masculino solteiro;nenhum;3;seguro de vida;47;stores;própria;1;especializado;1;sim;bom
sem cheque;18;existente e pago;negócios;1568;100<=X<500;1<=X<4;3;fem div/cas;nenhum;4;seguro de vida;24;nenhum;alugada;1;não especializado;1;sim;bom
<0;24;existente e pago;outros;1755;<100;>=7;4;fem div/cas;fiador;4;bens imóveis;58;nenhum;própria;1;não especializado;1;sim;bom
<0;10;existente e pago;Computador/TV;2315;<100;>=7;3;masculino solteiro;nenhum;4;bens imóveis;52;nenhum;própria;1;não especializado;1;sim;bom
sem cheque;12;crítica / outros de crédito existente;negócios;1412;<100;1<=X<4;4;fem div/cas;fiador;2;bens imóveis;29;nenhum;própria;2;alta qualificação/autonomo/Gerente;1;sim;bom
0<=X<200;18;crítica / outros de crédito existente;mobilia/equipamento;1295;<100;<1;4;fem div/cas;nenhum;1;seguro de vida;27;nenhum;própria;2;especializado;1;sim;bom
0<=X<200;36;existente e pago;educação;12612;100<=X<500;1<=X<4;1;masculino solteiro;nenhum;4;nenhuma conhecida;47;nenhum;gratuitamente;1;especializado;2;sim;ruim
<0;18;existente e pago;carro novo;2249;100<=X<500;4<=X<7;4;masculino solteiro;nenhum;3;carro;30;nenhum;própria;1;alta qualificação/autonomo/Gerente;2;sim;bom
<0;12;sem créditos/todos pagos;obras;1108;<100;4<=X<7;4;masculino solteiro;nenhum;3;bens imóveis;28;nenhum;própria;2;especializado;1;sim;ruim
sem cheque;12;crítica / outros de crédito existente;Computador/TV;618;<100;>=7;4;masculino solteiro;nenhum;4;bens imóveis;56;nenhum;própria;1;especializado;1;sim;bom
<0;12;crítica / outros de crédito existente;carro usado;1409;<100;>=7;4;masculino solteiro;nenhum;3;bens imóveis;54;nenhum;própria;1;especializado;1;sim;bom
sem cheque;12;crítica / outros de crédito existente;Computador/TV;797;nenhuma economia conhecida;>=7;4;fem div/cas;nenhum;3;seguro de vida;33;banco;própria;1;não especializado;2;sim;ruim
>=200;24;crítica / outros de crédito existente;mobilia/equipamento;3617;nenhuma economia conhecida;>=7;4;masculino solteiro;co requerente;4;nenhuma conhecida;20;nenhum;alugada;2;especializado;1;sim;bom
0<=X<200;12;existente e pago;carro novo;1318;>=1000;>=7;4;masculino solteiro;nenhum;4;bens imóveis;54;nenhum;própria;1;especializado;1;sim;bom
0<=X<200;54;sem créditos/todos pagos;negócios;15945;<100;<1;3;masculino solteiro;nenhum;4;nenhuma conhecida;58;nenhum;alugada;1;especializado;1;sim;ruim
sem cheque;12;crítica / outros de crédito existente;educação;2012;nenhuma economia conhecida;4<=X<7;4;fem div/cas;nenhum;2;carro;61;nenhum;própria;1;especializado;1;sim;bom
0<=X<200;18;existente e pago;negócios;2622;100<=X<500;1<=X<4;4;masculino solteiro;nenhum;4;carro;34;nenhum;própria;1;especializado;1;sim;bom
0<=X<200;36;crítica / outros de crédito existente;Computador/TV;2337;<100;>=7;4;masculino solteiro;nenhum;4;bens imóveis;36;nenhum;própria;1;especializado;1;sim;bom
0<=X<200;20;atrasos anteriores;carro usado;7057;nenhuma economia conhecida;4<=X<7;3;masculino solteiro;nenhum;4;seguro de vida;36;banco;alugada;2;alta qualificação/autonomo/Gerente;2;sim;bom
sem cheque;24;existente e pago;carro novo;1469;100<=X<500;>=7;4;masculino casado/viuvo;nenhum;4;bens imóveis;41;nenhum;alugada;1;não especializado;1;sim;bom
0<=X<200;36;existente e pago;Computador/TV;2323;<100;4<=X<7;4;masculino solteiro;nenhum;4;carro;24;nenhum;alugada;1;especializado;1;sim;bom
sem cheque;6;atrasos anteriores;Computador/TV;932;<100;1<=X<4;3;fem div/cas;nenhum;2;bens imóveis;24;nenhum;própria;1;especializado;1;sim;bom
0<=X<200;9;crítica / outros de crédito existente;mobilia/equipamento;1919;<100;4<=X<7;4;masculino solteiro;nenhum;3;carro;35;nenhum;alugada;1;especializado;1;sim;bom
sem cheque;12;existente e pago;carro usado;2445;nenhuma economia conhecida;<1;2;masculino casado/viuvo;nenhum;4;carro;26;nenhum;alugada;1;especializado;1;sim;bom
0<=X<200;24;crítica / outros de crédito existente;outros;11938;<100;1<=X<4;2;masculino solteiro;co requerente;3;carro;39;nenhum;própria;2;alta qualificação/autonomo/Gerente;2;sim;ruim
sem cheque;18;todos pagos;carro novo;6458;<100;>=7;2;masculino solteiro;nenhum;4;nenhuma conhecida;39;banco;própria;2;alta qualificação/autonomo/Gerente;2;sim;ruim
0<=X<200;12;existente e pago;carro novo;6078;<100;4<=X<7;2;masculino solteiro;nenhum;2;carro;32;nenhum;própria;1;especializado;1;sim;bom
<0;24;existente e pago;mobilia/equipamento;7721;nenhuma economia conhecida;<1;1;fem div/cas;nenhum;2;seguro de vida;30;nenhum;própria;1;especializado;1;não;bom
0<=X<200;14;existente e pago;negócios;1410;500<=X<1000;>=7;1;masculino casado/viuvo;nenhum;2;bens imóveis;35;nenhum;própria;1;especializado;1;sim;bom
0<=X<200;6;atrasos anteriores;negócios;1449;100<=X<500;>=7;1;masculino div/sep;nenhum;2;carro;31;banco;própria;2;especializado;2;sim;bom
>=200;15;existente e pago;educação;392;<100;<1;4;fem div/cas;nenhum;4;seguro de vida;23;nenhum;alugada;1;especializado;1;sim;bom
0<=X<200;18;existente e pago;carro novo;6260;<100;4<=X<7;3;masculino solteiro;nenhum;3;bens imóveis;28;nenhum;alugada;1;não especializado;1;sim;bom
sem cheque;36;crítica / outros de crédito existente;carro novo;7855;<100;1<=X<4;4;fem div/cas;nenhum;2;bens imóveis;25;stores;própria;2;especializado;1;sim;ruim
<0;12;existente e pago;Computador/TV;1680;500<=X<1000;>=7;3;masculino casado/viuvo;nenhum;1;bens imóveis;35;nenhum;própria;1;especializado;1;sim;bom
sem cheque;48;crítica / outros de crédito existente;Computador/TV;3578;nenhuma economia conhecida;>=7;4;masculino solteiro;nenhum;1;bens imóveis;47;nenhum;própria;1;especializado;1;sim;bom
<0;42;existente e pago;Computador/TV;7174;nenhuma economia conhecida;4<=X<7;4;fem div/cas;nenhum;3;carro;30;nenhum;própria;1;alta qualificação/autonomo/Gerente;1;sim;ruim
<0;10;crítica / outros de crédito existente;mobilia/equipamento;2132;nenhuma economia conhecida;<1;2;fem div/cas;co requerente;3;bens imóveis;27;nenhum;alugada;2;especializado;1;não;bom
<0;33;crítica / outros de crédito existente;mobilia/equipamento;4281;500<=X<1000;1<=X<4;1;fem div/cas;nenhum;4;carro;23;nenhum;própria;2;especializado;1;sim;ruim
0<=X<200;12;crítica / outros de crédito existente;carro novo;2366;500<=X<1000;4<=X<7;3;masculino div/sep;nenhum;3;carro;36;nenhum;própria;1;alta qualificação/autonomo/Gerente;1;sim;bom
<0;21;existente e pago;Computador/TV;1835;<100;1<=X<4;3;fem div/cas;nenhum;2;bens imóveis;25;nenhum;própria;2;especializado;1;sim;ruim
sem cheque;24;crítica / outros de crédito existente;carro usado;3868;<100;>=7;4;fem div/cas;nenhum;2;carro;41;nenhum;alugada;2;alta qualificação/autonomo/Gerente;1;sim;bom
sem cheque;12;existente e pago;mobilia/equipamento;1768;<100;1<=X<4;3;masculino solteiro;nenhum;2;bens imóveis;24;nenhum;alugada;1;não especializado;1;sim;bom
>=200;10;crítica / outros de crédito existente;carro novo;781;<100;>=7;4;masculino solteiro;nenhum;4;nenhuma conhecida;63;nenhum;gratuitamente;2;especializado;1;sim;bom
0<=X<200;18;existente e pago;mobilia/equipamento;1924;nenhuma economia conhecida;<1;4;fem div/cas;nenhum;3;bens imóveis;27;nenhum;alugada;1;especializado;1;sim;ruim
<0;12;crítica / outros de crédito existente;carro novo;2121;<100;1<=X<4;4;masculino solteiro;nenhum;2;seguro de vida;30;nenhum;própria;2;especializado;1;sim;bom
<0;12;existente e pago;Computador/TV;701;<100;1<=X<4;4;masculino casado/viuvo;nenhum;2;bens imóveis;40;nenhum;própria;1;não especializado;1;sim;bom
0<=X<200;12;existente e pago;obras;639;<100;1<=X<4;4;masculino solteiro;nenhum;2;carro;30;nenhum;própria;1;especializado;1;sim;ruim
0<=X<200;12;crítica / outros de crédito existente;carro usado;1860;<100;desempregado;4;masculino solteiro;nenhum;2;carro;34;nenhum;própria;2;alta qualificação/autonomo/Gerente;1;sim;bom
<0;12;crítica / outros de crédito existente;carro novo;3499;<100;1<=X<4;3;fem div/cas;co requerente;2;bens imóveis;29;nenhum;própria;2;especializado;1;sim;ruim
0<=X<200;48;existente e pago;carro novo;8487;nenhuma economia conhecida;4<=X<7;1;fem div/cas;nenhum;2;carro;24;nenhum;própria;1;especializado;1;sim;bom
<0;36;atrasos anteriores;educação;6887;<100;1<=X<4;4;masculino solteiro;nenhum;3;seguro de vida;29;stores;própria;1;especializado;1;sim;ruim
sem cheque;15;existente e pago;mobilia/equipamento;2708;<100;<1;2;masculino solteiro;nenhum;3;seguro de vida;27;banco;própria;2;não especializado;1;sim;bom
sem cheque;18;existente e pago;mobilia/equipamento;1984;<100;1<=X<4;4;masculino solteiro;nenhum;4;nenhuma conhecida;47;banco;gratuitamente;2;especializado;1;sim;bom
sem cheque;60;existente e pago;Computador/TV;10144;100<=X<500;4<=X<7;2;fem div/cas;nenhum;4;bens imóveis;21;nenhum;própria;1;especializado;1;sim;bom
sem cheque;12;crítica / outros de crédito existente;Computador/TV;1240;nenhuma economia conhecida;>=7;4;fem div/cas;nenhum;2;bens imóveis;38;nenhum;própria;2;especializado;1;sim;bom
sem cheque;27;atrasos anteriores;carro usado;8613;>=1000;1<=X<4;2;masculino solteiro;nenhum;2;carro;27;nenhum;própria;2;especializado;1;sim;bom
0<=X<200;12;existente e pago;Computador/TV;766;500<=X<1000;1<=X<4;4;masculino solteiro;nenhum;3;bens imóveis;66;nenhum;própria;1;não especializado;1;sim;ruim
0<=X<200;15;crítica / outros de crédito existente;Computador/TV;2728;nenhuma economia conhecida;4<=X<7;4;masculino solteiro;fiador;2;bens imóveis;35;banco;própria;3;especializado;1;sim;bom
>=200;12;existente e pago;Computador/TV;1881;<100;1<=X<4;2;fem div/cas;nenhum;2;carro;44;nenhum;alugada;1;não especializado;1;sim;bom
>=200;6;existente e pago;carro novo;709;>=1000;<1;2;masculino casado/viuvo;nenhum;2;bens imóveis;27;nenhum;própria;1;unemp/unespecializado non res;1;não;bom
0<=X<200;36;existente e pago;Computador/TV;4795;<100;<1;4;fem div/cas;nenhum;1;nenhuma conhecida;30;nenhum;própria;1;alta qualificação/autonomo/Gerente;1;sim;bom
<0;27;existente e pago;Computador/TV;3416;<100;1<=X<4;3;masculino solteiro;nenhum;2;carro;27;nenhum;própria;1;alta qualificação/autonomo/Gerente;1;sim;bom
<0;18;existente e pago;mobilia/equipamento;2462;<100;1<=X<4;2;masculino solteiro;nenhum;2;carro;22;nenhum;própria;1;especializado;1;sim;ruim
sem cheque;21;crítica / outros de crédito existente;mobilia/equipamento;2288;<100;<1;4;fem div/cas;nenhum;4;seguro de vida;23;nenhum;própria;1;especializado;1;sim;bom
0<=X<200;48;todos pagos;negócios;3566;100<=X<500;4<=X<7;4;masculino solteiro;nenhum;2;carro;30;nenhum;própria;1;especializado;1;sim;bom
<0;6;crítica / outros de crédito existente;carro novo;860;<100;>=7;1;fem div/cas;nenhum;4;nenhuma conhecida;39;nenhum;própria;2;especializado;1;sim;bom
sem cheque;12;crítica / outros de crédito existente;carro novo;682;100<=X<500;4<=X<7;4;fem div/cas;nenhum;3;carro;51;nenhum;própria;2;especializado;1;sim;bom
<0;36;crítica / outros de crédito existente;mobilia/equipamento;5371;<100;1<=X<4;3;masculino solteiro;fiador;2;seguro de vida;28;nenhum;própria;2;especializado;1;sim;bom
sem cheque;18;crítica / outros de crédito existente;Computador/TV;1582;>=1000;>=7;4;masculino solteiro;nenhum;4;carro;46;nenhum;própria;2;especializado;1;sim;bom
sem cheque;6;existente e pago;Computador/TV;1346;100<=X<500;>=7;2;masculino solteiro;nenhum;4;nenhuma conhecida;42;banco;gratuitamente;1;especializado;2;sim;bom
sem cheque;10;existente e pago;Computador/TV;1924;<100;1<=X<4;1;masculino solteiro;nenhum;4;seguro de vida;38;nenhum;própria;1;especializado;1;não;bom
>=200;36;existente e pago;Computador/TV;5848;<100;1<=X<4;4;masculino solteiro;nenhum;1;carro;24;nenhum;própria;1;especializado;1;sim;bom
0<=X<200;24;crítica / outros de crédito existente;carro usado;7758;>=1000;>=7;2;fem div/cas;nenhum;4;nenhuma conhecida;29;nenhum;alugada;1;especializado;1;sim;bom
0<=X<200;24;atrasos anteriores;negócios;6967;100<=X<500;4<=X<7;4;masculino solteiro;nenhum;4;carro;36;nenhum;alugada;1;alta qualificação/autonomo/Gerente;1;sim;bom
<0;12;existente e pago;mobilia/equipamento;1282;<100;1<=X<4;2;fem div/cas;nenhum;4;carro;20;nenhum;alugada;1;especializado;1;sim;ruim
<0;9;crítica / outros de crédito existente;obras;1288;100<=X<500;>=7;3;masculino solteiro;fiador;4;bens imóveis;48;nenhum;própria;2;especializado;2;não;bom
<0;12;todos pagos;qualificação;339;<100;>=7;4;masculino casado/viuvo;nenhum;1;carro;45;banco;própria;1;não especializado;1;sim;bom
